INFO 2025-12-10 06:43:40,619 basehttp "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2025-12-10 06:43:40,620 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 9110
INFO 2025-12-10 06:43:40,648 basehttp "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
INFO 2025-12-10 06:43:40,651 basehttp "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 304 0
INFO 2025-12-10 06:43:40,655 basehttp "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 304 0
INFO 2025-12-10 07:11:50,951 basehttp "GET /admin/ HTTP/1.1" 200 15770
INFO 2025-12-10 07:36:03,048 autoreload Watching for file changes with StatReloader
INFO 2025-12-10 07:36:04,738 basehttp "OPTIONS /api/health/ HTTP/1.1" 200 0
INFO 2025-12-10 07:36:04,765 basehttp "GET /api/health/ HTTP/1.1" 200 344
INFO 2025-12-10 07:36:05,900 basehttp "OPTIONS /api/events/categories/ HTTP/1.1" 200 0
INFO 2025-12-10 07:36:05,942 basehttp "GET /api/events/categories/ HTTP/1.1" 200 1511
INFO 2025-12-10 07:36:05,967 basehttp "OPTIONS /api/events/events/?page=1&ordering=-start_date HTTP/1.1" 200 0
INFO 2025-12-10 07:36:06,044 basehttp "GET /api/events/events/?page=1&ordering=-start_date HTTP/1.1" 200 2515
WARNING 2025-12-10 07:36:13,971 log Not Found: /
WARNING 2025-12-10 07:36:13,975 basehttp "GET / HTTP/1.1" 404 4895
INFO 2025-12-10 07:36:19,863 basehttp "GET /admin/ HTTP/1.1" 200 15799
INFO 2025-12-10 07:36:33,157 basehttp "GET /admin/auth/user/ HTTP/1.1" 200 20444
INFO 2025-12-10 07:36:33,216 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 9110
INFO 2025-12-10 07:36:33,356 basehttp "GET /static/admin/img/icon-no.svg HTTP/1.1" 200 560
INFO 2025-12-10 07:36:58,633 basehttp "GET /admin/auth/user/?_facets=True HTTP/1.1" 200 21030
INFO 2025-12-10 07:36:58,666 basehttp "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-12-10 07:36:58,670 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-12-10 07:36:58,671 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-12-10 07:36:58,672 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-12-10 07:36:58,681 basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2025-12-10 07:36:58,682 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2025-12-10 07:36:58,682 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-12-10 07:36:58,682 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2025-12-10 07:36:58,682 basehttp "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2025-12-10 07:36:58,687 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2025-12-10 07:36:58,688 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2025-12-10 07:36:58,690 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2025-12-10 07:36:58,695 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2025-12-10 07:36:58,696 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2025-12-10 07:36:58,700 basehttp "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
INFO 2025-12-10 07:36:58,700 basehttp "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2025-12-10 07:36:58,708 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 9110
INFO 2025-12-10 07:36:58,749 basehttp "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2025-12-10 07:36:58,750 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-12-10 07:36:58,775 basehttp "GET /static/admin/img/icon-hidelink.svg HTTP/1.1" 200 784
INFO 2025-12-10 07:37:03,931 basehttp "GET /admin/auth/group/ HTTP/1.1" 200 14356
INFO 2025-12-10 07:37:03,970 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 9110
ERROR 2025-12-10 07:37:06,867 log Internal Server Error: /admin/events/event/
Traceback (most recent call last):
